Date,Duplexing Type,Site Id,Sector,Sector id,Carrier Number DL (earfcn),DL Traffic (GB),UL Traffic (GB),Total Traffic (GB),Average User Throughput in DownLink (Mbps),Average DL PDCP Throughput (Mbit/s),Average UL PDCP Throughput (Mbit/s),Intra Frequency Handover Success Rate (%),Inter Frequency Handover Success Rate (%),Cell Availability,Scell Traffic Volume,Number of CSFB to GSM,Number of CSFB to WCDMA,DC_E_ERBS_EUTRANCELLFDD.pmPagDiscarded,Maximum Number of Users in a Cell,PcellVolume_DL_MAC,ScellVolume_DL_MAC,DL Payload(GB),CA capable DL UE Payload(GB),PS E-UTRAN RRC Setup successful Ratio (%),PS E-UTRAN RAB Setup Success Rate (%),DC_E_ERBS_EUTRANCELLFDD.pmCellDowntimeAuto,DC_E_ERBS_EUTRANCELLFDD.pmCellDowntimeMan,IRAT/Session Continuity to 2G,PS Drop Call Rate_NUM,PS Drop Call Rate_DENOM,DL User Throughput(Mbps)_DENOM,DL User Throughput(Mbps)_NUM,Average User Throughput in UpLink (Mbps)_NUM,Average User Throughput in UpLink (Mbps)_DENOM,CSSR RRC_DENOM,CSSR RRC_NUM,CSSR eRAB_NUM,CSSR eRAB DENOM,ERAB Drop Rate_DENOM,ERAB Drop Rate_NUM
2024-05-01,FDD,Site4,Site4_A,A,426.0,22.03488672,2.408982277,24.44386899,13.15413306,10.29767812,1.145069115,98.84892086,99.81610135,100.0,0.0,1333.0,0.0,0.0,23.0,23.49021863,0.0,22.02834713,0.742723703,99.96937724,99.94666332,0.0,0.0,226.0,89.0,27986.0,11680752.0,153650166.0,7131314.0,7561259.0,35921.0,35910.0,31856.0,31873.0,27907.0,89.0
2024-05-01,FDD,Site4,Site4_B,B,426.0,78.07056987,7.746525645,85.81709552,7.783897328,14.21179633,1.481669524,99.45143595,99.09805063,100.0,0.0,1221.0,0.0,0.0,64.0,83.02335913,0.0,78.05417883,2.606601119,99.93538337,99.90257632,0.0,0.0,209.0,127.0,58045.0,73655244.0,573324857.0,23695421.0,32554068.0,86665.0,86609.0,55374.0,55428.0,57925.0,127.0
2024-05-01,FDD,Site4,Site4_C,C,426.0,84.22997391,9.262813926,93.49278784,3.243525187,11.49272321,1.437230102,98.76266255,98.33818927,100.0,0.0,2349.0,0.0,0.0,71.0,89.64696363,0.0,84.20806551,4.469277143,99.91889533,99.87445565,0.0,0.0,386.0,200.0,77819.0,197715639.0,641295655.0,31107798.0,50556526.0,97405.0,97326.0,76371.0,76467.0,77619.0,200.0
2024-05-01,FDD,Site5,Site5_A,A,1399.0,168.9360968,19.54515254,188.4812493,6.713601086,23.62652657,2.620292259,98.15521362,99.85052317,100.0,0.616897875,2096.0,0.0,0.0,99.0,179.5074661,0.616897875,168.9128809,9.522925735,99.92768198,99.89648884,0.0,0.0,586.0,244.0,124257.0,173691109.0,1166092818.0,62780031.0,75006841.0,132747.0,132651.0,121600.0,121726.0,124001.0,244.0
2024-05-01,FDD,Site5,Site5_B,B,1399.0,201.6926721,21.43545365,223.1281258,8.101764741,27.2056675,2.871348061,98.73638015,99.61634942,100.0,2.25272125,3487.0,0.0,0.0,132.0,214.0432764,2.25272125,201.6664736,21.27232182,99.97037704,99.90520649,0.0,0.0,580.0,265.0,173701.0,162504182.0,1316570652.0,56663814.0,57382724.0,168788.0,168738.0,167574.0,167733.0,173494.0,265.0
2024-05-01,FDD,Site5,Site5_C,C,1399.0,117.8721216,13.19384205,131.0659636,10.68142618,19.87818251,2.395226076,99.19148209,99.70399605,100.0,1.64633525,1972.0,0.0,0.0,81.0,125.1556795,1.64633525,117.8566047,11.81400537,99.96664443,99.93501671,0.0,0.0,283.0,168.0,87654.0,73858486.0,788913966.0,25521309.0,24457883.0,83944.0,83916.0,86120.0,86176.0,87533.0,168.0
2024-05-01,FDD,Site5,Site5_A,A,426.0,66.97822726,7.690102696,74.66832995,4.863753073,11.10116938,1.17036414,98.56607249,99.9098519,100.0,0.6191265,1048.0,0.0,0.0,46.0,70.8070105,0.6191265,66.96466029,3.877368212,99.84718581,99.84055906,0.0,0.0,501.0,154.0,59670.0,100637844.0,489477623.0,27304372.0,66183220.0,62167.0,62072.0,58862.0,58956.0,59529.0,154.0
2024-05-01,FDD,Site5,Site5_B,B,426.0,94.38822711,10.40980923,104.7980363,4.602326779,13.51546848,1.507929788,98.21016892,99.61795606,100.0,1.308578625,1887.0,0.0,0.0,74.0,98.3632485,1.308578625,94.36968613,10.27803373,99.72830805,99.73101593,0.0,0.0,696.0,298.0,87570.0,149097819.0,686196885.0,33477826.0,62167128.0,97905.0,97639.0,86760.0,86994.0,87343.0,298.0
2024-05-01,FDD,Site5,Site5_C,C,426.0,79.03750634,8.796544552,87.83405089,8.352797455,14.77467561,1.79992868,98.32182585,99.74971121,100.0,0.674288,1004.0,0.0,0.0,61.0,82.59443388,0.674288,79.02751851,8.299311161,99.94678256,99.86714274,0.0,0.0,263.0,108.0,49623.0,67285749.0,562024233.0,22258765.0,25802686.0,45098.0,45074.0,48108.0,48172.0,49568.0,108.0
2024-05-01,FDD,Site6,Site6_A,A,426.0,146.4414148,18.25370753,164.6951224,7.285522693,20.19237891,2.238522495,96.88670953,99.49801849,100.0,2.195679375,2497.0,0.0,0.0,136.0,148.2125268,2.195679375,146.4184283,18.44892502,99.94411447,99.91169247,0.0,0.0,242.0,210.0,112697.0,142523421.0,1038357618.0,56401382.0,113619641.0,153886.0,153800.0,108615.0,108711.0,112530.0,210.0
